ClusterID,SegmentName,CustomerCount,MeanRiskScore,MedianRiskScore,ReviewRate,MeanClusterConfidence,Share,Median_RevolvingUtilizationOfUnsecuredLines,Median_age,Median_NumberOfTime30-59DaysPastDueNotWorse,Median_DebtRatio,Median_MonthlyIncome,Median_NumberOfOpenCreditLinesAndLoans,Median_NumberOfTimes90DaysLate,Median_NumberRealEstateLoansOrLines,Median_NumberOfTime60-89DaysPastDueNotWorse,Median_NumberOfDependents
0,상대적 안정군,91118,0.040545707772363396,0.017738737881689955,0.1506617792313264,0.9996028740064482,0.8976877530713377,0.126947117,53.0,0.0,0.3599480935,5584.0,8.0,0.0,1.0,0.0,0.0
1,연체 이력 집중군,10385,0.2995110896749045,0.28996452890510155,0.8400577756379394,0.9983031687147065,0.10231224692866221,0.756759514,47.0,0.0,0.415896026,3960.0,6.0,1.0,0.0,0.0,0.0
